DataSource,Commodity,Year,USprod_t,Imports_t,Exports_t,Consump_Reported_t,Consump_Apparent_t,Price_dkg,Stocks_t,Employment_num,NIR_pct
MCS2023,Molybdenum,2018,41400,37300,48200,16700,31300,27.04,1940,940,E
MCS2023,Molybdenum,2019,43600,34200,67200,16400,10400,26.5,1980,950,E
MCS2023,Molybdenum,2020,51100,24700,62500,15800,13100,19.9,1980,950,E
MCS2023,Molybdenum,2021,41100,30200,60000,15900,11100,35.3,2020,940,E
MCS2023,Molybdenum,2022,42000,33000,53000,16000,22000,39.25,2100,940,E
