DataSource,Commodity,Year,USprod_Mine_kt,Sold_Sold_kt,Imports_kt,Exports_kt,Consump_kt,Price_dt,Employment_Mine_Mill_Talc_num,Employment_Mine_Mill_Pyrophyllite_num,NIR_pct
MCS2023,Talc and Pyrophyllite ,2018,648,537,313,260,590,227,208,30,9
MCS2023,Talc and Pyrophyllite ,2019,578,515,280,229,566,240,202,31,9
MCS2023,Talc and Pyrophyllite ,2020,491,461,189,186,464,265,187,31,1
MCS2023,Talc and Pyrophyllite ,2021,577,556,278,232,602,321,154,32,8
MCS2023,Talc and Pyrophyllite ,2022,580,560,330,200,690,320,150,30,19
