DataSource,Commodity,Year,Price_Cmpds_Acetate_dg,Price_Cmpds_Chloride_dg,Price_Cmpds_Fluoride_dg,Price_Cmpds_Iodide_dg,Price_Cmpds_Oxide_dg,Price_Mtl_Dendritic_dg,Price_Mtl_Ingot_dg,Price_ScAl_kglot_dkg,Price_ScAl_mtlot_dkg,NIR_pct
MCS2023,Scandium,2018,44,125,206,165,4.6,226,132,360,NA,100
MCS2023,Scandium,2019,45,129,209,157,3.9,233,134,300,NA,100
MCS2023,Scandium,2020,45,133,214,161,3.8,233,134,340,NA,100
MCS2023,Scandium,2021,43,137,216,161,2.2,238,137,350,NA,100
MCS2023,Scandium,2022,46,140,250,170,2.1,260,150,350,98,100
