DataSource,Commodity,Year,Imports_Metal_t,Imports_Compds_t,Imports_Total_t,Exports_All_Gross_t,Consump_Est_All_t,Price_Mtl_Rotterdam_dlb,Price_Mtl_US_dlb,NIR_All_pct
MCS2023,Arsenic,2018,929,5540,6470,107,6470,1.1,0.97,100
MCS2023,Arsenic,2019,391,7050,7440,56,7440,1.03,1.01,100
MCS2023,Arsenic,2020,522,7750,8270,29,8270,0.94,1.08,100
MCS2023,Arsenic,2021,835,4760,5600,31,5600,1.34,1.11,100
MCS2023,Arsenic,2022,790,4600,5400,100,5300,1.5,1.8,100
