DataSource,Commodity,Year,USprod_kt,Imports_kt,Exports_kt,Consump_kt,Price_dt,Employment_num,NIR_pct
MCS2023,Pumice and Pumicite,2018,496,159,11,644,32,140,23
MCS2023,Pumice and Pumicite,2019,565,136,11,690,28,140,18
MCS2023,Pumice and Pumicite,2020,578,90,8,660,31,140,12
MCS2023,Pumice and Pumicite,2021,504,87,11,581,46,140,13
MCS2023,Pumice and Pumicite,2022,510,100,15,600,50,140,14
