DataSource,Commodity,Year,USprod_Cement_kt,USprod_Clinker_kt,Shipments_kt,Imports_Hydraulic_kt,Imports_Clinker_kt,Exports_Hyraulic-plus-clinker_kt,Consump_kt,Price_Avg_dt,Stocks_Cement_kt,Employment_num,NIR_pct
MCS2023,Cement,2018,86400,77112,99419,13693,967,919,98500,121,8580,12300,14
MCS2023,Cement,2019,87600,78858,102823,14836,997,1024,102000,124,7990,12500,15
MCS2023,Cement,2020,89300,78951,104645,15531,1204,884,105000,125,7180,12200,15
MCS2023,Cement,2021,93000,79000,109000,19937,1563,940,110000,130,7000,12300,18
MCS2023,Cement,2022,95000,80000,110000,24000,1100,900,120000,130,7500,13000,21
