DataSource,Commodity,Year,USprod_Crude_kt,USprod_Synthetic_kt,USprod_Calcined_kt,Products_msqft,Imports_Crude_kt,Exports_Crude_kt,Consump_kt,Price_Mine_dt,Price_Plant_dt,Employment_num,NIR_pct
MCS2023,Gypsum,2018,21100,16600,17500,23700,5210,36,42900,8.3,32,4500,12
MCS2023,Gypsum,2019,21700,14400,17900,25900,6140,37,42200,8.6,34,4500,15
MCS2023,Gypsum,2020,21500,13000,17900,26200,6030,32,40500,8.6,35,4500,15
MCS2023,Gypsum,2021,21300,13000,18600,27300,6520,42,40800,11,42,4500,16
MCS2023,Gypsum,2022,21000,14000,20000,28000,6800,40,42000,12,44,4500,16
