DataSource,Commodity,Year,Extracted_mcm,Withdrawn_mcm,Grade-A-Salesmcm,Imports_mcm,Exports_mcm,Consump_mcm,NIR_pct
MCS2023,Helium,2018,62,28,90,8,58,40,E
MCS2023,Helium,2019,72,17,89,7,58,38,E
MCS2023,Helium,2020,76,7,83,7,52,38,E
MCS2023,Helium,2021,69,7,76,9,47,38,E
MCS2023,Helium,2022,60,15,75,8,40,43,E
