DataSource,Commodity,Year,USprod_OldScrap_t,USprod_NewScrap_t,Imports_Refined_t,Imports_Alloys_t,Imports_Scrap_t,Exports_Refined_t,Exports_Alloys_t,Exports_Scrap_t,Shipments_Gov_t,Consump_t,Price_NY_ctslb,Price_LME_ctslb,Stocks_Yearend_t,NIR_Refined_pct
MCS2023,Tin,2018,9890,8100,36800,1430,47700,941,885,5980,13,42300,936,914,10100,77
MCS2023,Tin,2019,10500,8100,34100,1020,30400,1300,1200,2470,18,43200,868,846,10300,76
MCS2023,Tin,2020,9550,8000,31600,843,20700,519,1130,1200,-7,40600,799,777,10400,76
MCS2023,Tin,2021,9030,7600,38100,1100,18600,1290,630,2800,437,47800,1580,1478,8900,81
MCS2023,Tin,2022,10000,8000,34000,720,11000,1400,470,2900,0,43000,1600,1500,8600,77
