DataSource,Commodity,Year,USprod_kt,Imports_Refined_kt,Imports_H3BO3_kt,Imports_Colemanite_kt,Imports_Ulexite_kt,Exports_H3BO3_kt,Exports_Refined_kt,Consump_kt,Price_CIF_dt,Employment_num,NIR_pct
MCS2023,Boron,2018,W,133,51,73,34,251,610,W,404,1350,E
MCS2023,Boron,2019,W,161,41,42,38,251,598,W,373,1370,E
MCS2023,Boron,2020,W,174,39,18,41,257,594,W,380,1330,E
MCS2023,Boron,2021,W,232,54,3,49,280,607,W,394,1330,E
MCS2023,Boron,2022,W,160,53,1,36,250,610,W,430,1370,E
