DataSource,Commodity,Year,USprod_t,Imports_t,Exports_t,Consump_t,Price_Imports_dkg,Employment_num,NIR_pct,,,,
MCS2023,Bromine,2018,W,56200,21900,W,2.21,1050,<25,,,,
MCS2023,Bromine,2019,W,56300,29300,W,2.31,1050,<25,,,,
MCS2023,Bromine,2020,W,30700,36600,W,2.67,1050,E,,,,
MCS2023,Bromine,2021,W,27200,27900,W,2.85,1050,E,,,,
MCS2023,Bromine,2022,W,27000,18000,W,3.5,1050,<25,,,,
