DataSource,Commodity,Year,USprod_kt,Imports_kt,Exports_kt,Consump_kt,Price_Rutile_dt,Price_Ilmente_Leucoxene_dt,Price_Ilmenite_dt,Price_Slag_dt,Employment_num,NIR_pct,,,,,,,
MCS2023,Titanium Mineral Concentrates,2018,100,1090,32,1200,1025,407,219,738,296,91,,,,,,,
MCS2023,Titanium Mineral Concentrates,2019,100,1160,8,1300,1150,478,186,792,310,92,,,,,,,
MCS2023,Titanium Mineral Concentrates,2020,100,807,18,900,1175,459,215,757,315,89,,,,,,,
MCS2023,Titanium Mineral Concentrates,2021,100,969,30,1000,1450,595,240,774,290,90,,,,,,,
MCS2023,Titanium Mineral Concentrates,2022,200,950,120,1000,1500,580,290,830,330,81,,,,,,,
