DataSource,Commodity,Year,USprod_kt,Imports_kt,Exports_kt,Consump_kt,Price_dt,Employment_num,NIR_pct
MCS2023,Diatomite,2018,957,9,68,898,330,370,E
MCS2023,Diatomite,2019,768,10,66,712,340,370,E
MCS2023,Diatomite,2020,822,14,66,770,330,370,E
MCS2023,Diatomite,2021,998,14,68,944,410,370,E
MCS2023,Diatomite,2022,1100,13,60,1100,430,370,E
