DataSource,Commodity,Year,USprod_Mine_t,USprod_Secondary_t,Imports_Metal_t,Exports_Metal_t,Price_Imports_dkg,NIR_pct
MCS2023,Mercury,2018,NA,NA,6,0,7,NA
MCS2023,Mercury,2019,NA,NA,9,0,23,NA
MCS2023,Mercury,2020,NA,NA,3,0,26,NA
MCS2023,Mercury,2021,NA,NA,1,0,29,NA
MCS2023,Mercury,2022,NA,NA,2,0,33,NA
