DataSource,Commodity,Year,USprod_sales_mmt,Imports_mmt,Exports_mmt,Consump_mmt,Price_dt,Employment_num,NIR_pct,,,,,,,,,,
MCS2023,Iron and Steel Slag,2018,17,3,"Less than 50,000 tons",17,27,1500,13,,,,,,,,,,
MCS2023,Iron and Steel Slag,2019,16,2,"Less than 50,000 tons",16,29,1500,10,,,,,,,,,,
MCS2023,Iron and Steel Slag,2020,13,2,"Less than 50,000 tons",13,31,1500,14,,,,,,,,,,
MCS2023,Iron and Steel Slag,2021,16,2,"Less than 50,000 tons",16,41,1500,15,,,,,,,,,,
MCS2023,Iron and Steel Slag,2022,15,2,"Less than 50,000 tons",15,53,1500,13,,,,,,,,,,
