"year","scenario","technology","Terbium_mean","Terbium_min","Terbium_max","Tin_mean","Tin_min","Tin_max","Vanadium_mean","Vanadium_min","Vanadium_max","Yttrium_mean","Yttrium_min","Yttrium_max","Zinc_mean","Zinc_min","Zinc_max","Aluminum_mean","Aluminum_min","Aluminum_max","Boron_mean","Boron_min","Boron_max","Cadmium_mean","Cadmium_min","Cadmium_max","Cement_mean","Cement_min","Cement_max","Chromium_mean","Chromium_min","Chromium_max","Copper_mean","Copper_min","Copper_max","Dysprosium_mean","Dysprosium_min","Dysprosium_max","Fiberglass_mean","Fiberglass_min","Fiberglass_max","Gallium_mean","Gallium_min","Gallium_max","Germanium_mean","Germanium_min","Germanium_max","Glass_mean","Glass_min","Glass_max","Manganese_mean","Manganese_min","Manganese_max","Molybdenum_mean","Molybdenum_min","Molybdenum_max","Neodymium_mean","Neodymium_min","Neodymium_max","Nickel_mean","Nickel_min","Nickel_max","Niobium_mean","Niobium_min","Niobium_max","Praseodymium_mean","Praseodymium_min","Praseodymium_max","Selenium_mean","Selenium_min","Selenium_max","Silicon_mean","Silicon_min","Silicon_max","Silver_mean","Silver_min","Silver_max","Steel_mean","Steel_min","Steel_max","Tellurium_mean","Tellurium_min","Tellurium_max","Indium_mean","Indium_min","Indium_max","Lead_mean","Lead_min","Lead_max","Magnesium_mean","Magnesium_min","Magnesium_max"
2025,"IRA","Coal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,"IRA","Gas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,"IRA","Hydro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,"IRA","Nuclear New",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00565482954178159,0.00271431818005516,0.00814295454016549,0,0,0,0,0,0,5.55724812770356,2.95559090717118,9.261856812166,0,0,0,0.194797568055292,0.109477499928892,0.301590908895018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0517228408754956,0.0315162499795294,0.0704214772269867,0,0,0,0,0,0,0.0303702045257283,0.00738897726792794,0.0729849999525944,0,0,0,0,0,0,0,0,0,0,0,0,0.000150795454447509,0.000150795454447509,0.000150795454447509,4.82299154989765,1.1169419310927,7.60009090415445,0,0,0,0,0,0,0,0,0,0,0,0
2025,"IRA","onshore wind",0.0189527987180739,0.000788331315829764,0.0788331315829764,0,0,0,0.237024948959482,0.236499394748929,0.237550503170036,0.0032190195396382,0.00118249697374465,0.00525554210553176,14.4527407902123,14.4527407902123,14.4527407902123,5.26888841640502,0.131388552638294,34.6865778965096,0.00700738947404235,0.00262777105276588,0.0157666263165953,0,0,0,142.146209366475,101.739411849937,192.024369680867,1.38349518157071,0.628037281611045,2.37024948959482,9.19804148033856,2.34397177906717,40.3362856599563,0.0353205975505174,0.00236499394748929,0.131388552638294,22.7389788432674,19.4455057904675,25.1740466854971,0,0,0,0,0,0,0,0,0,2.07593913168505,2.04966142115739,2.1022168422127,0.264288073631928,0.197871160273271,0.31270475527914,0.323077618732828,0.0162921805271485,0.814609026357423,0.656457636227883,0.291682586857013,1.15621926321699,0.0990669686892737,0.0990669686892737,0.0990669686892737,0.0482809134761518,0.00262777105276588,0.197082828957441,0,0,0,0,0,0,0,0,0,321.478061645871,141.899636849358,536.06529476424,0,0,0,0,0,0,17.6586214745867,17.6586214745867,17.6586214745867,0,0,0
2025,"IRA","utility-scale solar pv",0,0,0,11.1144582160993,11.1144582160993,11.1144582160993,0,0,0,0,0,0,0,0,0,421.140690802656,210.982081180131,741.605964159137,0,0,0,0,0,0,148.420715710134,93.365301513749,202.487321954308,0,0,0,50.3556578638964,4.8156231438905,145.046569093982,0,0,0,0,0,0,0,0,0,0,0,0,1220.59994620478,1028.61710353501,1348.37448028934,0,0,0,0,0,0,0,0,0,0.0219592415361407,0.019262492575562,0.0250412403482306,0,0,0,0,0,0,0,0,0,89.2534014319524,0.077049970302248,173.362433180058,0.647822506035727,0.077049970302248,1.61804937634721,1077.73645960269,1076.77333497392,1078.69958423147,0,0,0,0,0,0,1.49236161229167,0.106521583942858,6.47219750538883,1.03054335279257,1.03054335279257,1.03054335279257
2025,"Ref","Coal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,"Ref","Gas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,"Ref","Hydro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,"Ref","Nuclear New",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00565482954394275,0.00271431818109252,0.00814295454327756,0,0,0,0,0,0,5.55724812982742,2.95559090830074,9.2618568157057,0,0,0,0.19479756812974,0.109477499970732,0.30159090901028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051722840895263,0.0315162499915743,0.0704214772539004,0,0,0,0,0,0,0.0303702045373352,0.00738897727075186,0.0729849999804878,0,0,0,0,0,0,0,0,0,0,0,0,0.00015079545450514,0.00015079545450514,0.00015079545450514,4.8229915517409,1.11694193151957,7.60009090705906,0,0,0,0,0,0,0,0,0,0,0,0
