"year","scenario","technology","Glass_mean","Glass_min","Glass_max","Terbium_mean","Terbium_min","Terbium_max","Tin_mean","Tin_min","Tin_max","Vanadium_mean","Vanadium_min","Vanadium_max","Yttrium_mean","Yttrium_min","Yttrium_max","Zinc_mean","Zinc_min","Zinc_max","Aluminum_mean","Aluminum_min","Aluminum_max","Boron_mean","Boron_min","Boron_max","Cadmium_mean","Cadmium_min","Cadmium_max","Cement_mean","Cement_min","Cement_max","Chromium_mean","Chromium_min","Chromium_max","Copper_mean","Copper_min","Copper_max","Dysprosium_mean","Dysprosium_min","Dysprosium_max","Fiberglass_mean","Fiberglass_min","Fiberglass_max","Gallium_mean","Gallium_min","Gallium_max","Germanium_mean","Germanium_min","Germanium_max","Manganese_mean","Manganese_min","Manganese_max","Molybdenum_mean","Molybdenum_min","Molybdenum_max","Neodymium_mean","Neodymium_min","Neodymium_max","Nickel_mean","Nickel_min","Nickel_max","Niobium_mean","Niobium_min","Niobium_max","Praseodymium_mean","Praseodymium_min","Praseodymium_max","Selenium_mean","Selenium_min","Selenium_max","Silicon_mean","Silicon_min","Silicon_max","Silver_mean","Silver_min","Silver_max","Steel_mean","Steel_min","Steel_max","Tellurium_mean","Tellurium_min","Tellurium_max","Indium_mean","Indium_min","Indium_max","Lead_mean","Lead_min","Lead_max","Magnesium_mean","Magnesium_min","Magnesium_max","model"
2030,"IRA","utility-scale solar pv",523.69348474356,441.324020283632,578.514633330603,0,0,0,4.76861347759654,4.76861347759654,4.76861347759654,0,0,0,0,0,0,0,0,0,180.688715102362,90.5210111267157,318.183048331832,0,0,0,0,0,0,63.6793095559693,40.0580061107633,86.8763689367329,0,0,0,21.6048919429283,2.06612369046644,62.2316455568492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00942152402852697,0.00826449476186576,0.0107438431904255,0,0,0,0,0,0,0,0,0,38.2938119622637,0.033057979047463,74.3804528567918,0.277945633813946,0.033057979047463,0.694217559996724,462.398481926389,461.985257188296,462.811706664483,0,0,0,0,0,0,0.64029173167555,0.0457026560331177,2.7768702399869,0.442150469759818,0.442150469759818,0.442150469759818,"REGEN"
2030,"Ref","Biomass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023055520566158,0.023055520566158,0.023055520566158,0,0,0,0,0,0,0.370990013432579,0.290801121028113,0.451178905837045,0,0,0,0.0087034598257798,0.00805169788002537,0.00954143933158638,0,0,0,0,0,0,0,0,0,0,0,0,0.00257157729391762,0.00198632177185361,0.00352926814820418,0,0,0,0,0,0,0.000171438486261175,0.000141880126560972,0.000195085174021337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92222103394678,0.92222103394678,0.92222103394678,0,0,0,0,0,0,0,0,0,0,0,0,"REGEN"
2030,"Ref","Coal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.70539040027095e-08,4.33153781398123e-08,1.05995278271541e-07,0,0,0,0,0,0,3.51559499478677e-06,1.21300045214274e-06,7.41508314485187e-06,0,0,0,1.00007564234567e-07,9.25760042595989e-08,1.09562427059525e-07,0,0,0,0,0,0,0,0,0,0,0,0,2.46303130598933e-08,1.90247935359176e-08,3.38029813718535e-08,0,0,0,0,0,0,1.64202087065955e-09,1.35891382399411e-09,1.8685065079919e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28697207683072e-05,1.04717899276986e-05,1.6165299121778e-05,0,0,0,0,0,0,0,0,0,0,0,0,"REGEN"
2030,"Ref","Hydro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REGEN"
2030,"Ref","Gas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89589303833116,0.842222026818234,0.949564049844087,0,0,0,0,0,0,45.902134037784,30.3447644042462,64.5703577328254,0,0,0,2.02608071231908,1.87435688933238,2.22115419901628,0,0,0,0,0,0,0,0,0,0,0,0,0.598638205336489,0.462396406880599,0.821579330082493,0,0,0,0,0,0,0.0399092136890993,0.0330283147771856,0.0454139328186302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.600402536268,128.108580591545,211.092224480991,0,0,0,0,0,0,0,0,0,0,0,0,"REGEN"
2030,"Ref","Nuclear New",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13227768774971e-12,1.02349329011986e-12,3.07047987035958e-12,0,0,0,0,0,0,2.09548247218392e-09,1.11447047146385e-09,3.49238654884232e-09,0,0,0,7.34527017876019e-11,4.12808960348343e-11,1.13721476679984e-10,0,0,0,0,0,0,0,0,0,0,0,0,1.95032332506173e-11,1.18838943130584e-11,2.65539648047764e-11,0,0,0,0,0,0,1.14517527016744e-11,2.78617617865962e-12,2.75205973565562e-11,0,0,0,0,0,0,0,0,0,0,0,0,5.68607383399922e-14,5.68607383399922e-14,5.68607383399922e-14,1.81861490148686e-09,4.21167488884322e-10,2.86578121233561e-09,0,0,0,0,0,0,0,0,0,0,0,0,"REGEN"
2030,"Ref","onshore wind",0,0,0,0.0278691022848846,0.00115920009503853,0.115920009503853,0,0,0,0.348532828574917,0.347760028511558,0.349305628638276,0.00473340038807399,0.00173880014255779,0.00772800063359018,21.252001742373,21.252001742373,21.252001742373,7.74762568783075,0.193200015839755,51.0048041816952,0.0103040008447869,0.00386400031679509,0.0231840019007705,0,0,0,209.018589136661,149.602500265356,282.361823149801,2.03435752678945,0.923496075714026,3.48532828574917,13.5252403958531,3.44668828258122,59.3124048628046,0.0519370970240879,0.00347760028511558,0.193200015839755,33.4364827413335,28.5936023442837,37.017123034897,0,0,0,0,0,0,3.05256025026812,3.01392024710017,3.09120025343607,0.388621831861666,0.29095922385467,0.459816037698616,0.475068792549133,0.0239568019641296,1.19784009820648,0.965286725294134,0.428904035164255,1.70016013938984,0.145672811943175,0.145672811943175,0.145672811943175,0.0709945658205818,0.00386400031679509,0.289800023759632,0,0,0,0,0,0,0,0,0,472.716727256296,208.656017106935,788.256064626198,0,0,0,0,0,0,25.966082128863,25.966082128863,25.966082128863,0,0,0,"REGEN"
2030,"Ref","utility-scale solar pv",342.857372805354,288.93083179073,378.748281373616,0,0,0,3.12196797646538,3.12196797646538,3.12196797646538,0,0,0,0,0,0,0,0,0,118.295262324882,59.2632846555031,208.311554755489,0,0,0,0,0,0,41.6902661813896,26.225613140256,56.8771704828493,0,0,0,14.1445267262074,1.3526724334772,40.7424936963333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00616818629665603,0.0054106897339088,0.00703389665408144,0,0,0,0,0,0,0,0,0,25.0706112383909,0.0216427589356352,48.6962076051792,0.181968484558926,0.0216427589356352,0.454497937648339,302.728090612197,302.457556125502,302.998625098893,0,0,0,0,0,0,0.419193187134584,0.0299211142285157,1.81799175059336,0.289471900764121,0.289471900764121,0.289471900764121,"REGEN"
2035,"IRA","Biomass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03466273724007e-10,4.03466273724007e-10,4.03466273724007e-10,0,0,0,0,0,0,9.93302930041296e-09,7.78596800685705e-09,1.20800905939689e-08,0,0,0,1.85180674350249e-10,1.69145476291988e-10,2.00181343501527e-10,0,0,0,0,0,0,0,0,0,0,0,0,4.50020074538315e-11,3.47601712746837e-11,6.17613757469826e-11,0,0,0,0,0,0,3.00013383025544e-12,2.48286937676312e-12,3.41394539304929e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46921359519092e-08,2.46921359519092e-08,2.46921359519092e-08,0,0,0,0,0,0,0,0,0,0,0,0,"REGEN"
2035,"IRA","Coal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20084974449131e-08,2.06768001227431e-08,5.05973461827125e-08,0,0,0,0,0,0,1.6781858578053e-06,5.79031488927484e-07,3.53962492454159e-06,0,0,0,4.77390826363333e-08,4.4191592419196e-08,5.23001414869384e-08,0,0,0,0,0,0,0,0,0,0,0,0,1.17573961482265e-08,9.08157495587148e-09,1.61360126448074e-08,0,0,0,0,0,0,7.83826409881764e-10,6.48683925419391e-10,8.91940397451663e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.14342192980235e-06,4.99875832928183e-06,7.71658180580772e-06,0,0,0,0,0,0,0,0,0,0,0,0,"REGEN"
