"row_id","year","scenario","Material","Gas","Nuclear New","offshore wind","onshore wind","utility-scale solar pv","total_demand"
80,2025,"REF","Manganese",3820.68731485529,0,0,21503.7387462337,0,25324.426061089
80,2025,"IRA","Manganese",3626.25474917208,0,0,21503.8674600448,0,25130.1222092168
80,2030,"REF","Manganese",4.99642313169819,2.35116887875709,0,11622.669628791,0,11630.0172208014
80,2030,"IRA","Manganese",1.19752235202901,0.0461985860876655,0,44590.4123634769,0,44591.656084415
80,2035,"REF","Manganese",0.527631012490798,0.389039880969404,0,5538.32479831228,0,5539.24146920574
80,2035,"IRA","Manganese",0.123982805433898,0.210423254525814,0,19225.6141348982,0,19225.9485409581
81,2025,"REF","Cement",325679.038122583,0,235.26183852497,1649584.59903331,172975.13350388,2148474.03249829
81,2025,"IRA","Cement",309105.420405894,0,235.548279027811,1649594.47286608,244542.667519544,2203478.10907054
81,2030,"REF","Cement",425.899882792822,132.093672360102,524.395420803975,891592.715367403,363759.116573114,1256434.22091647
81,2030,"IRA","Cement",102.077949750743,2.59553490576571,1459.40510731821,3420598.54648386,469208.749763009,3891371.37483885
81,2035,"REF","Cement",44.9757717580079,21.8570886319965,1417.69830052788,424853.342925787,232086.597747247,658424.471833952
81,2035,"IRA","Cement",10.5684128246911,11.8220263509837,1417.30051303874,1474826.18525765,858445.546847899,2334711.42305777
40,2025,"REF","Aluminum",6686.31416897356,0,4479.7810167376,53541.6193892866,453488.526784312,518196.241359309
40,2025,"IRA","Aluminum",6346.05151157608,0,4485.23532558385,53541.9398705742,641116.973191157,705490.199898891
40,2030,"REF","Aluminum",8.74388611959108,0.162914514146384,9985.37062411182,28938.9933953295,953666.475276369,992599.746096444
40,2030,"IRA","Aluminum",2.09569902224186,0.00320113977125312,27789.5273474201,111024.54858436,1230123.5465129,1368939.72134485
40,2035,"REF","Aluminum",0.92336965160435,0.0269569080147074,26995.3596128677,13789.7359108039,608460.922485263,649246.968335494
40,2035,"IRA","Aluminum",0.216973523443952,0.0145804083177113,26987.7850701636,47869.3740973902,2250584.80070995,2325442.19143144
41,2025,"REF","Aluminum",6644.81512270769,0,8754.87601358491,23613.1973309324,618461.484154689,657474.372621914
41,2025,"IRA","Aluminum",6306.66432775116,0,8765.53541803132,23613.33867122,874346.607108655,913032.145525658
41,2030,"REF","Aluminum",8.68961661842043,0.172416231790181,19514.4989090239,12762.8220699503,1300597.36653165,1332883.54954348
41,2030,"IRA","Aluminum",2.08269192917301,0.00338784091574075,54309.3212578434,48964.6111605054,1677625.75971816,1780901.77821628
41,2035,"REF","Aluminum",0.917638697460699,0.0285291247680619,52757.2721679394,6081.61947504359,829810.729366805,888650.56717761
41,2035,"IRA","Aluminum",0.21562686307767,0.0154307863438317,52742.4691715461,21111.5948595323,3069316.93715171,3143171.23224043
18,2025,"REF","Manganese",4501.73201522968,0,0,21539.7975876718,0,26041.5296029015
18,2025,"IRA","Manganese",4272.64147899654,0,0,21539.9265173184,0,25812.5679963149
18,2030,"REF","Manganese",5.88704495291885,2.14584386275504,0,11642.1592629508,0,11650.1921517665
18,2030,"IRA","Manganese",1.41098296375146,0.0421641139094116,0,44665.1844125633,0,44666.6375596409
18,2035,"REF","Manganese",0.621682232912023,0.355065452119484,0,5547.61181477447,0,5548.58856245951
18,2035,"IRA","Manganese",0.146082973707287,0.192047221016236,0,19257.8528716044,0,19258.1910017992
60,2025,"REF","Manganese",4489.15802827142,0,0,21478.3639501809,0,25967.5219784523
60,2025,"IRA","Manganese",4260.70737495559,0,0,21478.4925121073,0,25739.1998870629
60,2030,"REF","Manganese",5.87060158707426,1.86010217233103,0,11608.9546708992,0,11616.6853746586
60,2030,"IRA","Manganese",1.40704188477907,0.0365495184615223,0,44537.7948799319,0,44539.2384713352
60,2035,"REF","Manganese",0.619945784748877,0.307784750918081,0,5531.78947606483,0,5532.7172066005
60,2035,"IRA","Manganese",0.145674942887148,0.166474112680219,0,19202.9275666032,0,19203.2397156588
1,2025,"REF","Manganese",4237.79134322356,0,0,21423.7637120908,0,25661.5550553144
1,2025,"IRA","Manganese",4022.13259499536,0,0,21423.8919471995,0,25446.0245421948
1,2030,"REF","Manganese",5.54188211431652,2.17847718185566,0,11579.4434990764,0,11587.1638583725
1,2030,"IRA","Manganese",1.32825574001139,0.0428053325030301,0,44424.5751668248,0,44425.9462278973
1,2035,"REF","Manganese",0.585232434084828,0.360465175930585,0,5517.72709109185,0,5518.67278870187
1,2035,"IRA","Manganese",0.137517995134926,0.194967814799683,0,19154.1117247823,0,19154.4442105923
48,2025,"REF","Aluminum",6419.69911838034,0,815.879922493569,30265.7022337696,426194.497969286,463695.77924393
48,2025,"IRA","Aluminum",6093.00434656591,0,816.873288254554,30265.8833936099,602530.186301168,639705.947329599
48,2030,"REF","Aluminum",8.39522591888232,0.253934876612258,1818.58518986334,16358.469673469,896268.330188352,914454.03421248
48,2030,"IRA","Aluminum",2.01213356499249,0.00498961702148498,5061.16645738582,62759.3256689076,1156086.33158567,1223908.84083515
48,2035,"REF","Aluminum",0.886550525228101,0.0420177363964759,4916.52869333157,7794.98352345726,571839.599187643,584552.039972694
48,2035,"IRA","Aluminum",0.208321760235033,0.0227264845401532,4915.14918007161,27059.3276608744,2115129.27587712,2147103.98376631
81,2025,"REF","Manganese",3820.62817111864,0,0,21634.6892519715,0,25455.3174230902
81,2025,"IRA","Manganese",3626.19861522595,0,0,21634.8187496062,0,25261.0173648321
81,2030,"REF","Manganese",4.99634578772589,2.28681393600136,0,11693.4477610904,0,11700.7309208142
81,2030,"IRA","Manganese",1.19750381454065,0.0449340629860161,0,44861.9529136557,0,44863.1953515333
81,2035,"REF","Manganese",0.527622844832186,0.378391288477521,0,5572.05132567749,0,5572.9573398108
81,2035,"IRA","Manganese",0.123980886196392,0.204663661235075,0,19342.6916312254,0,19343.0202757729
19,2025,"REF","Manganese",5185.98569168589,0,0,21416.461237267,0,26602.4469289528
19,2025,"IRA","Manganese",4922.07388196768,0,0,21416.5894286655,0,26338.6633106332
19,2030,"REF","Manganese",6.78186324482736,1.86451325439124,0,11575.4965457883,0,11584.1429222875
19,2030,"IRA","Manganese",1.62544936848141,0.0366361926924291,0,44409.4326668385,0,44411.0947523996
19,2035,"REF","Manganese",0.716176607969987,0.30851463759494,0,5515.84632617541,0,5516.87101742098
19,2035,"IRA","Manganese",0.16828727451611,0.166868892592235,0,19147.5828804334,0,19147.9180366005
61,2025,"REF","Manganese",4432.14673389949,0,0,21624.5086231769,0,26056.6553570764
61,2025,"IRA","Manganese",4206.5973523508,0,0,21624.6380598739,0,25831.2354122247
61,2030,"REF","Manganese",5.79604627110784,1.81852892598393,0,11687.9451791213,0,11695.5597543184
61,2030,"IRA","Manganese",1.38917277021871,0.0357326374549459,0,44840.8422388364,0,44842.267144244
61,2035,"REF","Manganese",0.612072613119283,0.300905767891163,0,5569.42928726914,0,5570.34226565015
61,2035,"IRA","Manganese",0.143824903971332,0.162753419591518,0,19333.5895470174,0,19333.8961253409
2,2025,"REF","Manganese",4114.11606331759,0,0,21315.784185508,0,25429.9002488256
2,2025,"IRA","Manganese",3904.75107848903,0,0,21315.9117742892,0,25220.6628527782
2,2030,"REF","Manganese",5.38014837941002,2.01899564261348,0,11521.081072944,0,11528.4802169661
2,2030,"IRA","Manganese",1.28949205696803,0.0396716479401551,0,44200.6675164407,0,44201.9966801456
2,2035,"REF","Manganese",0.568153069096452,0.334076310543597,0,5489.91677880889,0,5490.81900818853
2,2035,"IRA","Manganese",0.133504683680219,0.180694648449392,0,19057.5716422855,0,19057.8858416177
83,2025,"REF","Manganese",4426.5036532279,0,0,21531.9412506789,0,25958.4449039068
83,2025,"IRA","Manganese",4201.24144478785,0,0,21532.0701333002,0,25733.311578088
83,2030,"REF","Manganese",5.78866665155825,2.14997975280109,0,11637.9129497659,0,11645.8515961703
83,2030,"IRA","Manganese",1.38740405305302,0.0422453808375629,0,44648.8934172942,0,44650.3230667281
83,2035,"REF","Manganese",0.611293312401126,0.355749803714028,0,5545.58840170638,0,5546.5554448225
83,2035,"IRA","Manganese",0.143641783785015,0.192417371987404,0,19250.8288417219,0,19251.1649008777
39,2025,"REF","Aluminum",6624.47652371936,0,4398.60411288035,37344.3013455013,434018.896946479,482386.27892858
