"year","scenario","Cu","Cement","Steel","Aluminum","Glass"
"2025","IRA",266.923155320606,1524.18765438403,4418.536456338,870.859915618197,71.0090841492527
"2025","REF",230.882243944165,1318.38643003262,3821.92998866315,753.273320321167,61.4211856933412
"2030","IRA",909.215560473968,5191.81309236266,15050.7815472159,2966.39452400473,241.876970793181
"2030","REF",387.414042966918,2212.21609910886,6413.09320088977,1263.97187371114,103.063057023275
"2035","IRA",971.874446084192,5549.60857762078,16088.0110451579,3170.82456593837,258.546000782919
"2035","REF",238.345278696004,1361.00193642932,3945.4700055879,777.622117661118,63.4065633278351
