"technology","row_id","Material_Technology","Intensity_Distribution_Value","year","scenario","capacity_new","material_demand"
"Coal",50,"Steel.Coal",53988.0769581893,2035,"IRA",-3.06863443089608,0
"Coal",50,"Steel.Coal",53988.0769581893,2035,"Ref",-2.79738425183609,0
"Coal",76,"Copper.Coal",488.010665781955,2025,"IRA",-21.7548620776517,0
"Coal",76,"Copper.Coal",488.010665781955,2025,"Ref",-18.0254523154354,0
"Coal",76,"Copper.Coal",488.010665781955,2030,"IRA",-5.82711506074089,0
"Coal",76,"Copper.Coal",488.010665781955,2030,"Ref",-1.40684744154277,0
"Coal",76,"Copper.Coal",488.010665781955,2035,"IRA",-3.06863443089608,0
"Coal",76,"Copper.Coal",488.010665781955,2035,"Ref",-2.79738425183609,0
"Coal",48,"Steel.Coal",55744.768331718,2025,"IRA",-21.7548620776517,0
"Coal",48,"Steel.Coal",55744.768331718,2025,"Ref",-18.0254523154354,0
"Coal",48,"Steel.Coal",55744.768331718,2030,"IRA",-5.82711506074089,0
"Coal",48,"Steel.Coal",55744.768331718,2030,"Ref",-1.40684744154277,0
"Coal",48,"Steel.Coal",55744.768331718,2035,"IRA",-3.06863443089608,0
"Coal",48,"Steel.Coal",55744.768331718,2035,"Ref",-2.79738425183609,0
"Coal",45,"Steel.Coal",55948.8402885478,2025,"IRA",-21.7548620776517,0
"Coal",45,"Steel.Coal",55948.8402885478,2025,"Ref",-18.0254523154354,0
"Coal",45,"Steel.Coal",55948.8402885478,2030,"IRA",-5.82711506074089,0
"Coal",45,"Steel.Coal",55948.8402885478,2030,"Ref",-1.40684744154277,0
"Coal",45,"Steel.Coal",55948.8402885478,2035,"IRA",-3.06863443089608,0
"Coal",45,"Steel.Coal",55948.8402885478,2035,"Ref",-2.79738425183609,0
"Coal",8,"Steel.Coal",52032.3776370867,2025,"IRA",-21.7548620776517,0
"Coal",8,"Steel.Coal",52032.3776370867,2025,"Ref",-18.0254523154354,0
"Coal",8,"Steel.Coal",52032.3776370867,2030,"IRA",-5.82711506074089,0
"Coal",8,"Steel.Coal",52032.3776370867,2030,"Ref",-1.40684744154277,0
"Coal",8,"Steel.Coal",52032.3776370867,2035,"IRA",-3.06863443089608,0
"Coal",8,"Steel.Coal",52032.3776370867,2035,"Ref",-2.79738425183609,0
"Coal",47,"Steel.Coal",50193.4861970187,2025,"IRA",-21.7548620776517,0
