"year","scenario","Aluminum","Cement","Steel","Copper","Silicon","Indium","Neodymium","Silver","Dysprosium","Gallium","Selenium","Nickel","Manganese"
2025,"IRA",608750.213816317,1669090.95507005,4751203.66253145,161623.496684742,117436.287301286,0,3314.68395260152,852.380623242167,366.212063315189,0,0,6835.19661221179,21523.81345315
2025,"REF",562771.098653732,1652878.03634346,4633519.90591229,156125.256838576,107691.887560537,0,3314.66411218887,781.653442444706,366.209871311802,0,0,6832.75843284767,21523.68461995
2030,"IRA",2524612.35447562,6922062.74753064,19704205.9140549,670285.617285551,487032.511545015,0,13746.6550680455,3534.99852844979,1518.754423691,0,0,28346.9694322308,89263.5447362
2030,"REF",2166145.47535919,2336184.47161081,8995701.86580127,355050.109502875,446561.265218147,0,3583.12071784527,3241.26005519082,395.869425246306,0,0,7469.73693900165,23266.9005594
2035,"IRA",7353880.87818738,6493095.90423379,27384385.7979304,1117574.16713757,1527473.20146341,0,8890.51722025306,11086.7669124467,982.239846007877,0,0,18631.729416625,57730.3407767
2035,"REF",2042415.99828973,1843766.97067818,7694166.44454988,312853.516033336,423908.822066385,0,2561.0922826841,3076.83439377134,282.95394149003,0,0,5363.77562302029,16630.3856769
