"technology","row_id","Material_Technology","Intensity_Distribution_Value","year","scenario","capacity_new","material_demand"
"Gas",1,"Steel.Gas",40724.5191095391,2030,"REF",13.67963388,557096.511357558
"Gas",1,"Steel.Gas",40724.5191095391,2030,"IRA",13.61963023,554652.891566491
"Gas",1,"Steel.Gas",40724.5191095391,2035,"REF",1086.9976736,44267457.5305477
"Gas",1,"Steel.Gas",40724.5191095391,2035,"IRA",944.01327401,38444486.6170788
"Gas",1,"Steel.Gas",40724.5191095391,2025,"IRA",31.924156255,1300095.91146266
"Gas",1,"Steel.Gas",40724.5191095391,2025,"REF",30.297344295,1233844.77671001
"Gas",20,"Aluminum.Gas",224.038102068347,2030,"REF",13.67963388,3064.75921146505
"Gas",20,"Aluminum.Gas",224.038102068347,2030,"IRA",13.61963023,3051.31610760188
"Gas",20,"Aluminum.Gas",224.038102068347,2035,"REF",1086.9976736,243528.895746052
"Gas",20,"Aluminum.Gas",224.038102068347,2035,"IRA",944.01327401,211494.942236527
"Gas",20,"Aluminum.Gas",224.038102068347,2025,"IRA",31.924156255,7152.22737750354
"Gas",20,"Aluminum.Gas",224.038102068347,2025,"REF",30.297344295,6787.75951356305
"Gas",29,"Steel.Gas",40513.4349315106,2030,"REF",13.67963388,554208.957084268
"Gas",29,"Steel.Gas",40513.4349315106,2030,"IRA",13.61963023,551778.00311434
"Gas",29,"Steel.Gas",40513.4349315106,2035,"REF",1086.9976736,44038009.520097
"Gas",29,"Steel.Gas",40513.4349315106,2035,"IRA",944.01327401,38245220.3510865
"Gas",29,"Steel.Gas",40513.4349315106,2025,"IRA",31.924156255,1293357.22718032
"Gas",29,"Steel.Gas",40513.4349315106,2025,"REF",30.297344295,1227449.48669306
"Gas",3,"Aluminum.Gas",214.730067620143,2030,"REF",13.67963388,2937.4287080712
"Gas",3,"Aluminum.Gas",214.730067620143,2030,"IRA",13.61963023,2924.54412024924
"Gas",3,"Aluminum.Gas",214.730067620143,2035,"REF",1086.9976736,233411.083955066
"Gas",3,"Aluminum.Gas",214.730067620143,2035,"IRA",944.01327401,202708.03416248
"Gas",3,"Aluminum.Gas",214.730067620143,2025,"IRA",31.924156255,6855.07623135216
"Gas",3,"Aluminum.Gas",214.730067620143,2025,"REF",30.297344295,6505.7507891761
"Gas",37,"Cement.Gas",15268.7825968781,2030,"REF",13.67963388,208871.355718608
"Gas",37,"Cement.Gas",15268.7825968781,2030,"IRA",13.61963023,207955.173031739
"Gas",37,"Cement.Gas",15268.7825968781,2035,"REF",1086.9976736,16597131.1615107
"Gas",37,"Cement.Gas",15268.7825968781,2035,"IRA",944.01327401,14413933.4494258
"Gas",37,"Cement.Gas",15268.7825968781,2025,"IRA",31.924156255,487443.001446362
"Gas",37,"Cement.Gas",15268.7825968781,2025,"REF",30.297344295,462603.56330312
"Gas",10,"Nickel.Gas",9.21841404416175,2030,"REF",13.67963388,126.104529078383
