"row_id","year","scenario","Material","Coal","Coal CCS","Gas","Gas CCS","Hydro","Nuclear New","onshore wind","utility-scale solar pv","total_demand"
19,2035,"Ref","Cement",0,0.814653876350685,54.6645355004822,1.95359189179137,19.3106206366627,0.0656934139396744,402.201443367447,138193.979058093,614436.271976624
19,2030,"IRA","Cement",0,60.0559783350772,0,14.678830242805,84.2737616648517,1.5935277550687,1312.47119019576,255586.555646665,1653925.03526234
19,2025,"IRA","Cement",0,27.8665353002695,0,14.6353190047319,1233.33081731539,6.60815298181218,696.407412970428,210766.662606627,2147113.04587426
19,2030,"Ref","Cement",0,0.134869707037184,44.896698747744,0.842370497479454,30.9243115763409,0.757193531870043,387.62875730411,111055.940320978,575262.901481043
19,2025,"Ref","Cement",0,1.4962502374733,8.33309672162347,0.859155698635658,1279.90160185913,7.36534415478201,355.649537441349,160761.19026543,1812010.77044231
19,2035,"IRA","Cement",0,60.2841471063575,0,1.5410844818899,29.4242462194623,4.70342006321873e-06,1234.07703697303,273191.439254347,1536692.72715026
37,2035,"Ref","Steel",0,2.42976672604023,161.577107618055,7.5934138698943,1.55111705420719,0.0309626897069573,729.076392254637,1025382.93106845,1917618.51068505
37,2030,"IRA","Steel",0,179.121492077144,0,57.0551268296535,6.76925259938902,0.751063195846768,2379.13557016221,1896421.92342183,4283077.80937928
37,2025,"IRA","Steel",0,83.1140466009068,0,56.8860030530507,99.0667519295136,3.11456168954537,1262.38782222371,1563863.63391597,2928432.76975875
37,2030,"Ref","Steel",0,0.402259089440185,132.705394070268,3.27420882837762,2.48398163778382,0.356881260531479,702.660272780867,824021.902944245,1662228.4326937
37,2025,"Ref","Steel",0,4.46267936160586,24.6309175309747,3.33945120566432,102.807529582017,3.47144183827749,644.691076923559,1192828.96114543,1968429.92702026
37,2035,"IRA","Steel",0,179.8020226736,0,5.99003933658388,2.36348955204203,2.21682094513539e-06,2237.02935113189,2027048.07137561,4266440.91427637
44,2035,"Ref","Steel",0,2.68940791669937,161.974153020964,7.72029184432979,1.57460438942701,0.0506197973165232,911.832451344734,1026419.24770408,2101851.07625652
44,2030,"IRA","Steel",0,198.262143308031,0,58.0084581042739,6.87175402219151,1.22788643704687,2975.50852293237,1898338.56697798,4881946.73036959
44,2025,"IRA","Steel",0,91.995487682754,0,57.8365084469049,100.566841175129,5.0918858454073,1578.82794548635,1565444.17309854,3249930.84560542
44,2030,"Ref","Steel",0,0.445243886217743,133.031492658326,3.3289174207369,2.52159460145297,0.583452446965856,878.794658281246,824854.711430002,1839785.90941799
44,2025,"Ref","Steel",0,4.93955451614617,24.691443385901,3.39524992965863,104.364262456473,5.67533647473203,806.294444966712,1194034.50929573,2135059.99657955
44,2035,"IRA","Steel",0,199.015394372856,0,6.09012660574062,2.39927799963003,3.62420151452675e-06,2797.78083427545,2029096.73395224,4829276.84985152
5,2035,"Ref","Cement",0,0.71607225309235,34.7900876348771,1.72931012119608,19.1484227320702,0.0433422176759058,400.101876005284,115091.463949265,569175.192539172
5,2030,"IRA","Cement",0,52.7885780286301,0,12.9936297406135,83.5659114195722,1.05135389821891,1305.61984314031,212858.990352679,1603096.09881078
5,2025,"IRA","Cement",0,24.49439362853,0,12.9551138025091,1222.9715607176,4.35982829627942,692.772034979741,175531.842388736,2095635.26638236
5,2030,"Ref","Cement",0,0.118549064572852,28.5735544928743,0.745662301941906,30.6645654691069,0.499569818539742,385.605262110613,92490.2143995039,537833.166290638
5,2025,"Ref","Cement",0,1.31518833929448,5.30342318947593,0.760520481056849,1269.15117794412,4.85939655849927,353.792979804638,133886.011966533,1766992.98946327
5,2035,"IRA","Cement",0,52.9891359967182,0,1.36416055131489,29.1770997827523,3.10315211184561e-06,1227.6349221772,227520.785612317,1484332.81067542
39,2035,"Ref","Steel",0,2.56613708179319,171.423472842147,6.47180001719717,2.37859283470185,0.0585641816799308,1137.1250752115,1026165.7038198,2337151.40888983
39,2030,"IRA","Steel",0,189.174663575368,0,48.6275839989844,10.3804517431621,1.42059368455952,3710.6875807524,1897869.64345086,5620358.26963099
39,2025,"IRA","Steel",0,87.7788121446778,0,48.4834412880667,151.915979298652,5.89101781422114,1968.91966677596,1565057.48043163,3691784.14432046
39,2030,"Ref","Steel",0,0.424835830879565,140.792342750594,2.79057945673338,3.80911350896302,0.67502078074412,1095.92441069606,824650.957585788,2065851.84532215
39,2025,"Ref","Steel",0,4.71314668656811,26.131903737435,2.84618496246251,157.652352898777,6.56603649205946,1005.51107829431,1193739.56144852,2389600.9328711
39,2035,"IRA","Steel",0,189.893388867037,0,5.10525797035937,3.62434240416063,4.19299181729721e-06,3489.04750747675,2028595.51082276,5521267.36489666
43,2035,"Ref","Steel",0,2.49487308276183,184.15328735163,6.15114632843993,1.30167953676984,0.0501086567057396,847.510785774958,1026359.39406239,2059375.25538246
43,2030,"IRA","Steel",0,183.921108285028,0,46.2182675579335,5.68067868504894,1.21548767891908,2765.61287397864,1898227.86905738,4670736.90939999
43,2025,"IRA","Steel",0,85.3411133841421,0,46.0812665837568,83.1356752935786,5.04046980308719,1467.4556830142,1565352.88726692,3120984.71537778
43,2030,"Ref","Steel",0,0.413037747115805,151.247506082988,2.6523165941304,2.08452873291877,0.577560952809123,816.803515027778,824806.611632137,1795519.72242863
43,2025,"Ref","Steel",0,4.58225824600533,28.0724447954473,2.70516705327591,86.2748927424888,5.61802895660908,749.417546624881,1193964.88149614,2063347.79461556
