"year","scenario","Aluminum","Cement","Steel","Copper","Silicon","Indium","Neodymium","Silver","Dysprosium","Gallium","Selenium","Nickel","Manganese"
2021,NA,1773259.12631579,93024422.8333333,41377271.4375,989746.7259234,287279.066666667,0,20074.0010204082,2085.14008333333,2217.81063829787,0,0,43316.3517948718,130350
2025,"IRA",426415.234048603,296124.173204313,1404037.51279846,59748.4969122903,89253.4014319524,0,319.696235118917,647.973301490174,35.3205975505174,0,0,708.787082289752,2075.93913168505
2025,"Ref",360416.852290402,132575.342190355,927147.279932244,43289.0493134701,76382.8477989992,0,0,554.555749051922,0,0,0,49.1628710029969,0
2030,"IRA",847324.220069188,4979172.62302495,6076617.43676104,208595.021392722,166282.056235026,0,3796.39989482864,1206.95124485497,419.432880641185,0,0,7843.68346836291,24651.8233105506
2030,"Ref",371027.40809827,3815754.67779504,2796745.19297909,94336.5275342983,72793.8706922233,0,1662.34898889949,528.386402475561,183.659215140861,0,0,3437.60662331089,10794.4196317792
2035,"IRA",764421.346525507,1474098.14267642,4535618.80837897,163142.405752821,152662.968441456,0,2674.73334463536,1108.06428906329,295.509204184634,0,0,5529.80220293157,17368.3109370555
2035,"Ref",355672.223285519,528260.140847324,1751750.48870194,65929.4162496051,72333.4559418614,0,871.729705362704,525.014999387349,96.3102179933218,0,0,1808.09004783344,5660.5540160383
