"technology","Material","max","min","value"
"utility-scale solar pv","Aluminum",38.5,10.953,21.86325
"utility-scale solar pv","Boron",0,0,0
"utility-scale solar pv","Cadmium",0,0,0
"utility-scale solar pv","Cement",10.512,4.847,7.70516666666667
"utility-scale solar pv","Chromium",0,0,0
"utility-scale solar pv","Copper",7.53,0.25,2.61418181818182
"utility-scale solar pv","Dysprosium",0,0,0
"utility-scale solar pv","Fiberglass",0,0,0
"utility-scale solar pv","Gadium",0,0,0
"utility-scale solar pv","Gallium",0,0,0
"utility-scale solar pv","Germanium",0,0,0
"utility-scale solar pv","Glass",70,53.4,63.3666666666667
"utility-scale solar pv","Indium",0,0,0
"utility-scale solar pv","Lead",0.336,0.00553,0.077475
"utility-scale solar pv","Magnesium",0.0535,0.0535,0.0535
"utility-scale solar pv","Manganese",0,0,0
"utility-scale solar pv","Molybdenum",0,0,0
"utility-scale solar pv","Neodymium",0,0,0
"utility-scale solar pv","Nickel",0.0013,0.001,0.00114
"utility-scale solar pv","Niobium",0,0,0
"utility-scale solar pv","Praseodymium",0,0,0
"utility-scale solar pv","Selenium",0,0,0
"utility-scale solar pv","Silicon",9,0.004,4.63353333333333
"utility-scale solar pv","Silver",0.084,0.004,0.0336312916666667
"utility-scale solar pv","Steel",56,55.9,55.95
"utility-scale solar pv","Tellurium",0,0,0
"utility-scale solar pv","Terbium",0,0,0
"utility-scale solar pv","Tin",0.577,0.577,0.577
"utility-scale solar pv","Vanadium",0,0,0
"utility-scale solar pv","Yttrium",0,0,0
"utility-scale solar pv","Zinc",0,0,0
