DataSource,Commodity,Year,Prod_Crude_kt,Sold_Processed_kt,Imports_kt,Exports_kt,Consump_kt,Price_FOB_dt,Employment_num,NIR_pct
MCS2023,Perlite,2018,504,444,200,16,630,69,130,30
MCS2023,Perlite,2019,629,397,180,19,560,64,140,29
MCS2023,Perlite,2020,845,493,160,25,630,61,140,21
MCS2023,Perlite,2021,884,496,170,27,640,64,150,23
MCS2023,Perlite,2022,880,520,230,29,720,66,150,28
