DataSource,Commodity,Year,USprod_Kyanite_t,USprod_SynMullite_t,Imports_Andalusite_t,Exports_Kyanite_t,Consump_t,Price_FAS_dt,Employment_Kyanite_num,Employment_SynMullite_num,NIR_pct
MCS2023,Kyanite and Related Minerals,2018,89200,W,8590,43000,W,347,150,200,E
MCS2023,Kyanite and Related Minerals,2019,91300,W,6960,40100,W,358,150,200,E
MCS2023,Kyanite and Related Minerals,2020,67100,W,714,37400,W,369,140,200,E
MCS2023,Kyanite and Related Minerals,2021,105000,W,1390,48000,W,369,140,200,E
MCS2023,Kyanite and Related Minerals,2022,100000,W,6200,46000,W,400,140,200,E
