DataSource,Commodity,Year,USprod_FeSi2_Si_kt,Imports_FeSi2_kt,Imports_Si_kt,Exports_FeSi2_kt,Exports_Si_kt,Consump_FeSi2_Si_kt,Price_FeSi2_50_ctslb,Price_FeSi2_75_ctslb,Price_Si_ctslb,Stocks_FeSi2_Si_kt,NIR_FeSi2_pct,NIR_Si_pct,NIR_FeSi2_Si_pct
MCS2023,Silicon,2018,430,140,116,12,45,637,104.24,107.58,134.15,19,<50,<25,32
MCS2023,Silicon,2019,310,127,124,8,40,517,102.35,89.15,105.7,15,<50,<50,40
MCS2023,Silicon,2020,277,140,97,4,31,481,103.38,87.4,96.84,12,>50,<50,42
MCS2023,Silicon,2021,313,125,96,7,53,475,137.94,192.28,220.31,11,<50,<25,34
MCS2023,Silicon,2022,310,200,120,8,49,570,NA,350,400,17,>50,<50,45
