DataSource,Commodity,Year,USprod_kt,Shipments_kt,Imports_kt,Exports_kt,Consump_kt,Employment_Plant_num,NIR_pct
MCS2023,Magnesium Compounds,2018,405,610,551,116,840,270,52
MCS2023,Magnesium Compounds,2019,376,563,564,88,852,270,56
MCS2023,Magnesium Compounds,2020,363,547,480,66,777,260,53
MCS2023,Magnesium Compounds,2021,432,634,655,86,1001,270,57
MCS2023,Magnesium Compounds,2022,450,660,640,140,950,280,53
