DataSource,Commodity,Year,Imports_t,Exports_t,Consump_Est_t,Price_Customs_dt,NIR_pct,,
MCS2023,Asbestos,2018,681,0,500,"1,670",100,,
MCS2023,Asbestos,2019,172,0,450,"1,570",100,,
MCS2023,Asbestos,2020,305,0,450,"2,110",100,,
MCS2023,Asbestos,2021,41,0,310,"1,880",100,,
MCS2023,Asbestos,2022,100,0,260,"1,900",100,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
