DataSource,Commodity,Year,USprod_Mine_t,USprod_Secondary_t,Imports_t,Exports_t,Consump_Estimated_t,Consump_Apparent_t,Price_Spot_dlb,Price_LME_dlb,Stocks_Industry_t,Stocks_LME_t,NIR_pct
MCS2023,Cobalt,2018,480,2750,11900,6980,9290,7680,37.43,32.94,1060,130,64
MCS2023,Cobalt,2019,500,2750,13900,4080,9050,12500,16.95,14.88,1090,102,78
MCS2023,Cobalt,2020,600,2010,9740,3430,7260,8470,15.70,14.21,952,82,76
MCS2023,Cobalt,2021,650,1800,9800,4930,7200,6600,24.21,23.17,1010,50,73
MCS2023,Cobalt,2022,800,1900,11000,5100,7800,7800,31.00,29.00,1000,30,76
