DataSource,Commodity,Year,USprod_Mine_t,Sales_Mill_t,Imports_t,Exports_t,Consump_t,Price_Range_dt,Employment_num,NIR_pct
MCS2023,Zeolites (Natural),2018,86100,80500,"<1,000","<1,000",80500,50–300,110,E
MCS2023,Zeolites (Natural),2019,87800,77100,"<1,000","<1,000",77100,50–300,120,E
MCS2023,Zeolites (Natural),2020,86700,75300,"<1,000","<1,000",75300,50–300,120,E
MCS2023,Zeolites (Natural),2021,85300,73900,"<1,000","<1,000",74000,50–300,120,E
MCS2023,Zeolites (Natural),2022,86000,79000,"<1,000","<1,000",79000,50–300,120,E
