DataSource,Commodity,Year,USprod_kt,Imports_kt,Exports_kt,Consump_kt,Stocks_Producer_kt,Price_dst,Employment_num,NIR_pct
MCS2023,Nitrogen (Fixed)--Ammonia,2018,13100,2530,224,15300,490,281,1600,14
MCS2023,Nitrogen (Fixed)--Ammonia,2019,13500,2020,338,15200,420,232,1600,11
MCS2023,Nitrogen (Fixed)--Ammonia,2020,14000,1990,369,15700,310,213,1600,11
MCS2023,Nitrogen (Fixed)--Ammonia,2021,12700,2080,231,14600,270,578,1600,13
MCS2023,Nitrogen (Fixed)--Ammonia,2022,13000,2100,700,14000,390,1100,1600,9
