DataSource,Commodity,Year,USprod_Marketable_kt,CASE STATEMENT ERRORSold_Used_kt,Imports_kt,Consump_kt,Price_dt,Stocks_kt,Employment_num,NIR_pct
MCS2023,Phosphate Rock,2018,25800,23300,2770,26000,70.8,10600,1900,2
MCS2023,Phosphate Rock,2019,23300,23400,2140,25500,68,9830,1900,11
MCS2023,Phosphate Rock,2020,23500,22600,2520,25100,75.9,11000,1800,5
MCS2023,Phosphate Rock,2021,21600,21900,2460,24400,83.1,10700,2000,11
MCS2023,Phosphate Rock,2022,21000,21000,2400,24000,90,10000,2000,12
