DataSource,Commodity,Year,USprod_Mine_t,Imports_All_t,Exports_Compounds_t,Consump_t,Price_Y2O3_dkg,Price_Metal_dkg,NIR_pct
MCS2023,Yttrium,2018,NA,450,14,400,3,36,100
MCS2023,Yttrium,2019,NA,360,6,400,3,34,100
MCS2023,Yttrium,2020,NA,650,1,600,3,34,100
MCS2023,Yttrium,2021,NA,670,9,700,6,39,100
MCS2023,Yttrium,2022,NA,1000,4,1000,13,43,100
