DataSource,Commodity,Year,USprod_Flake_Sold_t,USprod_Flake_Ground_t,Imports_Flake_t,Exports_Flake_t,Consump_Flake_t,Price_Flake_dt,Price_Ground_dry_dt,Price_Ground_wet_dt,NIR_Flake_pct,USprod_Sheet_t,Imports_Sheet_t,Exports_Sheet_t,Consump_Sheet_t,Price_Sheet_Block_dkg,Price_Sheet_Splittings_dkg,NIR_Sheet_pct
MCS2023,Mica,2018,42000,68400,28100,6030,64100,116,308,422,34,W,1890,686,1200,W,1.65,100
MCS2023,Mica,2019,40100,61300,27300,5500,61900,105,316,394,35,W,3150,779,2370,W,1.66,100
MCS2023,Mica,2020,34600,59900,20400,3980,50000,120,303,337,31,W,2840,528,2310,W,1.57,100
MCS2023,Mica,2021,40600,66800,24100,4850,59900,100,299,336,32,NA,3980,633,3350,W,1.88,100
MCS2023,Mica,2022,42000,67000,21000,7600,55000,100,300,340,24,NA,4200,950,3300,W,1.8,100
