DataSource,Commodity,Year,USprod_Mine_t,USprod_Secondary_t,Imports_Concentrate_t,Imports_Other_t,Exports_Concentrate_t,Exports_Other_t,Shipments_Concentrate_t,Shipments_Other_t,Consump_Reported_t,Consump_Apparent_t,Price_WO3_dt,Stocks_t,NIR_pct
MCS2023,Tungsten,2018,0,W,4050,10400,284,3210,1180,0,W,W,261,W,>50
MCS2023,Tungsten,2019,0,W,2760,11100,583,2780,663,0,W,W,198,W,>50
MCS2023,Tungsten,2020,0,W,2020,8660,480,2470,728,34,W,W,172,W,>50
MCS2023,Tungsten,2021,0,W,1590,10400,441,2970,1030,93,W,W,225,W,>50
MCS2023,Tungsten,2022,0,W,2000,12000,600,4200,700,0,W,W,270,W,>50
