DataSource,Commodity,Year,USprod_Mine_t,USprod_Refinery_t,Imports_Ores_t,Imports_Primary_t,Imports_Seconday_t,Exports_Ores_t,Exports_Primary_t,Exports_Seconday_t,Consump_Reported_Primary_t,Consump_Reported_Secondary_t,Consump_Apparent_Primary_t,Consump_Apparent_Total_t,Price_LME_dt,Price_LME_dlb,Stocks_Consumer_t,Stocks_LME_t,NIR_pct
MCS2023,Nickel,2018,17600,W,3,144000,45100,18000,9780,59400,107000,123000,136000,259000,13114,5.948,16300,2268,52
MCS2023,Nickel,2019,13500,W,4,119000,37700,14300,12800,47800,105000,111000,106000,217000,13903,6.306,13400,1974,49
MCS2023,Nickel,2020,16700,W,95,105000,31800,13400,11300,46300,85000,100000,94000,200000,13772,6.25,14000,1734,48
MCS2023,Nickel,2021,18400,W,18,108000,34400,14900,11600,29100,77000,100000,98000,200000,18476,8.38,14000,1296,49
MCS2023,Nickel,2022,18000,W,0,130000,34000,18000,11000,43000,80000,96000,120000,220000,25000,11,14000,6,56
