DataSource,Commodity,Year,USprod_mmt,Imports_mmt,Exports_mmt,Consump_mmt,Price_dt,Employment_num,NIR_pct
MCS2023,Sand and Gravel (Construction),2018,912,6,Less than ½ unit.,918,9.18,38600,1
MCS2023,Sand and Gravel (Construction),2019,914,5,Less than ½ unit.,919,9.65,39600,1
MCS2023,Sand and Gravel (Construction),2020,888,5,Less than ½ unit.,893,9.93,37900,1
MCS2023,Sand and Gravel (Construction),2021,942,5,Less than ½ unit.,946,10.36,37800,Less than ½ unit.
MCS2023,Sand and Gravel (Construction),2022,960,4,Less than ½ unit.,960,11,37000,Less than ½ unit.
