"technology","Material","max","min","value"
"Hydro","Boron",0,0,0
"Hydro","Cadmium",0,0,0
"Hydro","Cement",1685.28,594.619,1007.20975
"Hydro","Chromium",0,0,0
"Hydro","Copper",2.97,1.05,1.84066666666667
"Hydro","Dysprosium",0,0,0
"Hydro","Fiberglass",0,0,0
"Hydro","Gadium",0,0,0
"Hydro","Gallium",0,0,0
"Hydro","Germanium",0,0,0
"Hydro","Glass",0,0,0
"Hydro","Indium",0,0,0
"Hydro","Lead",0,0,0
"Hydro","Magnesium",0,0,0
"Hydro","Manganese",0,0,0
"Hydro","Molybdenum",0,0,0
"Hydro","Neodymium",0,0,0
"Hydro","Nickel",0,0,0
"Hydro","Niobium",0,0,0
"Hydro","Praseodymium",0,0,0
"Hydro","Selenium",0,0,0
"Hydro","Silicon",0,0,0
"Hydro","Silver",0,0,0
"Hydro","Steel",177,24.8,83.575
"Hydro","Tellurium",0,0,0
"Hydro","Terbium",0,0,0
"Hydro","Tin",0,0,0
"Hydro","Vanadium",0,0,0
"Hydro","Yttrium",0,0,0
"Hydro","Zinc",0,0,0
"Nuclear New","Aluminum",0.054,0.018,0.0375
"Nuclear New","Boron",0,0,0
"Nuclear New","Cadmium",0,0,0
"Nuclear New","Cement",61.42,19.6,36.8528888888889
"Nuclear New","Chromium",0,0,0
"Nuclear New","Copper",2,0.726,1.2918
"Nuclear New","Dysprosium",0,0,0
"Nuclear New","Fiberglass",0,0,0
"Nuclear New","Gadium",0,0,0
"Nuclear New","Gallium",0,0,0
"Nuclear New","Germanium",0,0,0
"Nuclear New","Glass",0,0,0
"Nuclear New","Indium",0,0,0
"Nuclear New","Lead",0,0,0
"Nuclear New","Magnesium",0,0,0
"Nuclear New","Manganese",0.467,0.209,0.343
"Nuclear New","Molybdenum",0,0,0
"Nuclear New","Neodymium",0,0,0
"Nuclear New","Nickel",0.484,0.049,0.2014
"Nuclear New","Niobium",0,0,0
"Nuclear New","Praseodymium",0,0,0
"Nuclear New","Selenium",0,0,0
"Nuclear New","Silicon",0,0,0
"Nuclear New","Silver",0.001,0.001,0.001
"Nuclear New","Steel",50.4,7.407,31.9836666666667
"Nuclear New","Tellurium",0,0,0
"Nuclear New","Terbium",0,0,0
"Nuclear New","Tin",0,0,0
"Nuclear New","Vanadium",0,0,0
"Nuclear New","Yttrium",0,0,0
"Nuclear New","Zinc",0,0,0
"offshore wind","Aluminum",9.4,0.26,1.97335
"offshore wind","Boron",0.007,0.007,0.007
"offshore wind","Cadmium",0,0,0
"offshore wind","Cement",0.22,0.142,0.181
"offshore wind","Chromium",0.45,0.29356,0.35239
"offshore wind","Copper",22.2,0.8916666667,5.44289018464694
"offshore wind","Dysprosium",0.033,0.003,0.0175555555555556
"offshore wind","Fiberglass",10.921,5.823,8.8098
"offshore wind","Gadium",0,0,0
"offshore wind","Gallium",0,0,0
"offshore wind","Germanium",0,0,0
"offshore wind","Glass",0,0,0
"offshore wind","Indium",0,0,0
"offshore wind","Lead",6.72,3.79,5.74333333333333
"offshore wind","Magnesium",0,0,0
"offshore wind","Manganese",0,0,0
"offshore wind","Molybdenum",0.075315,0.075315,0.075315
"offshore wind","Neodymium",0.216,0.034,0.148850975609756
"offshore wind","Nickel",0.37657,0.111,0.1773925
"offshore wind","Niobium",0.037657,0.037657,0.037657
"offshore wind","Praseodymium",0.035,0.0308,0.03245
"offshore wind","Selenium",0,0,0
"offshore wind","Silicon",0,0,0
"offshore wind","Silver",0,0,0
"offshore wind","Steel",917.224,125,302.45475
"offshore wind","Tellurium",0,0,0
"offshore wind","Terbium",0.007,0.006,0.00638666666666667
"offshore wind","Tin",0,0,0
"offshore wind","Vanadium",7,7,7
"offshore wind","Yttrium",0,0,0
"offshore wind","Zinc",0,0,0
"onshore wind","Aluminum",13.2,0.05,2.00507894736842
"onshore wind","Boron",0.006,0.001,0.00266666666666667
"onshore wind","Cadmium",0,0,0
"onshore wind","Cement",73.075,38.717,54.0938333333333
"onshore wind","Chromium",0.902,0.239,0.52649
"onshore wind","Copper",15.35,0.892,3.50032072644118
"onshore wind","Dysprosium",0.05,9e-04,0.0134412765957447
"onshore wind","Fiberglass",9.58,7.4,8.65333333333333
"onshore wind","Gadium",0,0,0
"onshore wind","Gallium",0,0,0
"onshore wind","Germanium",0,0,0
"onshore wind","Glass",0,0,0
"onshore wind","Indium",0,0,0
"onshore wind","Lead",6.72,6.72,6.72
"onshore wind","Magnesium",0,0,0
"onshore wind","Manganese",0.8,0.78,0.79
"onshore wind","Molybdenum",0.119,0.0753,0.100575
"onshore wind","Neodymium",0.31,0.0062,0.1229474
"onshore wind","Nickel",0.44,0.111,0.249815384615385
"onshore wind","Niobium",0.0377,0.0377,0.0377
"onshore wind","Praseodymium",0.075,0.001,0.0183733333333333
"onshore wind","Selenium",0,0,0
"onshore wind","Silicon",0,0,0
"onshore wind","Silver",0,0,0
"onshore wind","Steel",204,54,122.3386875
"onshore wind","Tellurium",0,0,0
"onshore wind","Terbium",0.03,3e-04,0.0072125
"onshore wind","Tin",0,0,0
"onshore wind","Vanadium",0.0904,0.09,0.0902
"onshore wind","Yttrium",0.002,0.00045,0.001225
"onshore wind","Zinc",5.5,5.5,5.5
"utility-scale solar pv","Aluminum",38.5,10.953,21.86325
"utility-scale solar pv","Boron",0,0,0
"utility-scale solar pv","Cadmium",0,0,0
"utility-scale solar pv","Cement",10.512,4.847,7.70516666666667
"utility-scale solar pv","Chromium",0,0,0
"utility-scale solar pv","Copper",7.53,0.25,2.61418181818182
"utility-scale solar pv","Dysprosium",0,0,0
"utility-scale solar pv","Fiberglass",0,0,0
"utility-scale solar pv","Gadium",0,0,0
"utility-scale solar pv","Gallium",0,0,0
"utility-scale solar pv","Germanium",0,0,0
"utility-scale solar pv","Glass",70,53.4,63.3666666666667
"utility-scale solar pv","Indium",0,0,0
"utility-scale solar pv","Lead",0.336,0.00553,0.077475
"utility-scale solar pv","Magnesium",0.0535,0.0535,0.0535
"utility-scale solar pv","Manganese",0,0,0
"utility-scale solar pv","Molybdenum",0,0,0
"utility-scale solar pv","Neodymium",0,0,0
"utility-scale solar pv","Nickel",0.0013,0.001,0.00114
"utility-scale solar pv","Niobium",0,0,0
"utility-scale solar pv","Praseodymium",0,0,0
"utility-scale solar pv","Selenium",0,0,0
"utility-scale solar pv","Silicon",9,0.004,4.63353333333333
"utility-scale solar pv","Silver",0.084,0.004,0.0336312916666667
"utility-scale solar pv","Steel",56,55.9,55.95
"utility-scale solar pv","Tellurium",0,0,0
"utility-scale solar pv","Terbium",0,0,0
"utility-scale solar pv","Tin",0.577,0.577,0.577
"utility-scale solar pv","Vanadium",0,0,0
"utility-scale solar pv","Yttrium",0,0,0
"utility-scale solar pv","Zinc",0,0,0
